"id","reservation_date","franchisee","pole_type","borough","x","y","latitude","longitude","zone","on_street","cross_street_1","cross_street_2","park_advisory","historic_advisory","scenic_landmark_advisory","bid_advisory","school_advisory","equipment_installed_yes_no","zipcode","community_board","council_district"
"13952","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","989886.0000000","168603.0000000","40.6294510","-73.9796960","B","18th Ave","47th St","46th St",,,,,,"Y","11230","312","44"
"17639","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","990208.0000000","164015.0000000","40.6168580","-73.9785390","B","60th St","Bay Pkwy","21st Ave",,,,,,"N","11204","312","44"
"16830","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","989654.0000000","164467.0000000","40.6180990","-73.9805350","B","21st Avenue","60th Street","59th Street",,,,,,"Y","11204","312","44"
"16829","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","988431.0000000","165433.0000000","40.6207510","-73.9849390","B","19th Avenue","60th Street","59th Street",,,,,,"Y","11204","312","44"
"16753","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","988991.0000000","164977.0000000","40.6194990","-73.9829220","B","60th Street","20th Avenue","19th Avenue",,,,,,"Y","11204","312","44"
"15364","2017-11-22T00:00:00.000","Mobilitie I","CITY","Brooklyn","987500.0000000","168168.0000000","40.6282580","-73.9882920","B","16th Avenue","54th Street","53rd Street",,,,,,"Y","11204","312","44"
"15322","2017-11-22T00:00:00.000","Mobilitie I","CITY","Brooklyn","990425.0000000","168028.0000000","40.6278720","-73.9777540","B","19th Avenue","Dahill Road","48th Street",,,,,,"Y","11204","312","44"
"13951","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","988426.0000000","168021.0000000","40.6278540","-73.9849560","B","17th Ave","52nd St","53rd St",,,,,,"Y","11204","312","44"
"13880","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","987537.0000000","166804.0000000","40.6245140","-73.9881590","B","17th Ave","58th St","57th St",,,,,,"Y","11204","312","44"
"18660","2018-01-26T00:00:00.000","ZenFi","CITY","Brooklyn","993467.0000000","159921.0000000","40.6056180","-73.9668060","B","Ocean Parkway","Kings Highway","Avenue R","Ocean Parkway Malls",,"Ocean Parkway",,,"Y","11223","315","44"
"18642","2018-01-26T00:00:00.000","ZenFi","CITY","Brooklyn","994795.0000000","160497.0000000","40.6071970","-73.9620230","B","Coney Island Avenue","Kings Highway","Avenue R",,,,"Kings Highway BID",,"Y","11223","315","44"
